MACREPO ID,WEBSITE URL,DIMENSION: PAGETITLE,METRIC: USERS,METRIC: PAGEVIEWS,"ITEM=1, COLLECTION=2",IDENTIFIER,PARENT DIRECTORY,TIMERANGE: From 365daysAgo to 20170328
4054,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4054,'[Bethune] 36b | Digital Archive @ McMaster University Library',4,5,1,023WW1MAP,74944
4055,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4055,'Ghent 2 | Digital Archive @ McMaster University Library',6,8,1,398WW1MAP,70212
4056,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4056,'[Nivelles] 39 | Digital Archive @ McMaster University Library',5,7,1,376WW1MAP,74944
4057,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4057,'Sartori | Digital Archive @ McMaster University Library',34,43,1,253WW1MAP,74925
4058,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4058,'[Hautmont] 51 | Digital Archive @ McMaster University Library',6,12,1,381WW1MAP,74944
4059,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4059,'[Combles] 57c.SW | Digital Archive @ McMaster University Library',4,4,1,084WW1MAP,74943
4060,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4060,'[Peronne] 62c | Digital Archive @ McMaster University Library',5,8,1,057WW1MAP,74944
4061,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4061,'[Bertincourt] 57c.SE | Digital Archive @ McMaster University Library',11,16,1,001WW1MAP,74943
4062,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4062,'Liege 7 | Digital Archive @ McMaster University Library',16,27,1,403WW1MAP,70212
4063,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4063,'[Gommecourt] 57d.NE Enemy Organisation 17-5-18 | Digital Archive @ McMaster University Library',21,26,1,210WW1MAP,74939
4064,http://digitalarchive.mcmaster.ca/islandora/object/macrepo%3A4064,'Sketch of Enemy Trenches South of Doiran | Digital Archive @ McMaster University Library',66,109,1,259WW1MAP,74924
